,State,AgeGroup,PrimeCondition,N,Percent,sd,se,ci,RetrievalState
5,know,Young,b,36,0.416666667,0.190847733,0.031807955,0.064573583,know
6,know,Young,p,36,0.388888889,0.188978877,0.031496479,0.063941253,know
7,know,Young,r,36,0.437777778,0.215712919,0.035952153,0.072986751,know
8,know,Young,u,36,0.322222222,0.193835145,0.032305858,0.065584377,know
1,dontknow,Young,b,36,0.275555556,0.129271463,0.021545244,0.04373917,dontknow
2,dontknow,Young,p,36,0.284444444,0.124222023,0.020703671,0.042030686,dontknow
3,dontknow,Young,r,36,0.265555556,0.136286347,0.022714391,0.046112665,dontknow
4,dontknow,Young,u,36,0.33,0.14544513,0.024240855,0.049211552,dontknow
9,other,Young,b,36,0.165555556,0.123991807,0.020665301,0.041952792,other
10,other,Young,p,36,0.172222222,0.124604772,0.020767462,0.042160189,other
11,other,Young,r,36,0.166666667,0.138068306,0.023011384,0.046715594,other
12,other,Young,u,36,0.174444444,0.116776819,0.019462803,0.039511591,other
13,TOT,Young,b,36,0.142222222,0.107520393,0.017920066,0.036379667,TOT
14,TOT,Young,p,36,0.154444444,0.115200309,0.019200051,0.038978177,TOT
15,TOT,Young,r,36,0.13,0.114891253,0.019148542,0.038873607,TOT
16,TOT,Young,u,36,0.173333333,0.126129185,0.021021531,0.042675977,TOT
