,State,AgeGroup,PrimeCondition,N,Percent,sd,se,ci,RetrievalState
9,know,Old,b,32,0.42875,0.200961399,0.035525292,0.072454311,know
10,know,Old,p,32,0.4475,0.205080629,0.036253476,0.073939452,know
11,know,Old,r,32,0.44,0.221897971,0.03922639,0.08000275,know
12,know,Old,u,32,0.38625,0.216627374,0.038294671,0.078102497,know
13,know,Young,b,32,0.39,0.152400152,0.026940795,0.054946114,know
14,know,Young,p,32,0.435,0.227355058,0.040191076,0.08197024,know
15,know,Young,r,32,0.38375,0.154371776,0.027289332,0.05565696,know
16,know,Young,u,32,0.28625,0.176886149,0.031269349,0.063774257,know
1,dontknow,Old,b,32,0.45625,0.245708324,0.043435506,0.088587298,dontknow
2,dontknow,Old,p,32,0.47875,0.223169977,0.039451251,0.080461357,dontknow
3,dontknow,Old,r,32,0.4575,0.256816741,0.045399215,0.092592309,dontknow
4,dontknow,Old,u,32,0.5175,0.237391741,0.041965327,0.08558885,dontknow
5,dontknow,Young,b,32,0.2625,0.123575757,0.021845314,0.044553812,dontknow
6,dontknow,Young,p,32,0.25875,0.129708109,0.022929371,0.04676476,dontknow
7,dontknow,Young,r,32,0.29125,0.146259822,0.025855328,0.052732289,dontknow
8,dontknow,Young,u,32,0.36375,0.152183039,0.026902415,0.054867837,dontknow
17,other,Old,b,32,0.04375,0.055980988,0.009896134,0.020183298,other
18,other,Old,p,32,0.02875,0.042178576,0.007456189,0.015206998,other
19,other,Old,r,32,0.04125,0.0492361,0.008703795,0.017751507,other
20,other,Old,u,32,0.0375,0.052731823,0.009321757,0.01901185,other
21,other,Young,b,32,0.1925,0.121256859,0.021435387,0.04371776,other
22,other,Young,p,32,0.165,0.106437927,0.018815745,0.038374965,other
23,other,Young,r,32,0.16625,0.117219122,0.020721609,0.042262,other
24,other,Young,u,32,0.18625,0.119616322,0.021145378,0.043126283,other
25,TOT,Old,b,32,0.07125,0.082374049,0.014561812,0.029699012,TOT
26,TOT,Old,p,32,0.045,0.090731792,0.016039266,0.032712299,TOT
27,TOT,Old,r,32,0.06125,0.09310937,0.016459567,0.033569508,TOT
28,TOT,Old,u,32,0.05875,0.071108731,0.012570366,0.025637431,TOT
29,TOT,Young,b,32,0.155,0.123078784,0.021757461,0.044374634,TOT
30,TOT,Young,p,32,0.14125,0.108946569,0.019259214,0.039279427,TOT
31,TOT,Young,r,32,0.15875,0.130303616,0.023034643,0.046979463,TOT
32,TOT,Young,u,32,0.16375,0.105761448,0.018696159,0.038131068,TOT
