,value.AgeGroup,value.Subject,value.StudyNo,value.PrimeInstruction,value.totalitems,value.correctitems,value.wrongitems,value.targetacc,value.rtrials,value.ptrials,value.btrials,value.utrials,value.rcorrecttrials,value.pcorrecttrials,value.bcorrecttrials,value.ucorrecttrials,value.racc,value.pacc,value.bacc,value.uacc,value.rmcq,value.pmcq,value.bmcq,value.umcq,value.r_know,value.r_dontknow,value.r_other,value.r_TOT,value.p_know,value.p_dontknow,value.p_other,value.p_TOT,value.b_know,value.b_dontknow,value.b_other,value.b_TOT,value.u_know,value.u_dontknow,value.u_other,value.u_TOT,value.correct_r,value.correct_p,value.correct_b,value.correct_u,value.wrong_r,value.wrong_p,value.wrong_b,value.wrong_u,value.wrong_r_r,value.wrong_r_p,value.wrong_r_b,value.wrong_r_u,value.wrong_r_x,value.wrong_p_r,value.wrong_p_p,value.wrong_p_b,value.wrong_p_u,value.wrong_p_x,value.wrong_b_r,value.wrong_b_p,value.wrong_b_b,value.wrong_b_u,value.wrong_b_x,value.wrong_u_r,value.wrong_u_p,value.wrong_u_b,value.wrong_u_u,value.wrong_u_x,value.prop_r_r,value.prop_r_p,value.prop_r_b,value.prop_r_u,value.prop_r_x,value.prop_p_r,value.prop_p_p,value.prop_p_b,value.prop_p_u,value.prop_p_x,value.prop_b_r,value.prop_b_p,value.prop_b_b,value.prop_b_u,value.prop_b_x,value.prop_u_r,value.prop_u_p,value.prop_u_b,value.prop_u_u,value.prop_u_x,value.know,value.dontknow,value.other,value.TOT,visible,condTOTprop,num_r_TOT,num_p_TOT,num_b_TOT,num_u_TOT,condpropTOT_r,condpropTOT_p,condpropTOT_b,condpropTOT_u,know_r_percent,know_p_percent,know_b_percent,know_u_percent,dontknow_r_percent,dontknow_p_percent,dontknow_b_percent,dontknow_u_percent,other_r_percent,other_p_percent,other_b_percent,other_u_percent,TOT_r_percent,TOT_p_percent,TOT_b_percent,TOT_u_percent,r_know_new,r_dontknow_new,r_other_new,r_TOT_new,p_know_new,p_dontknow_new,p_other_new,p_TOT_new,b_know_new,b_dontknow_new,b_other_new,b_TOT_new,u_know_new,u_dontknow_new,u_other_new,u_TOT_new
94,Young,87,2,NoInstruction,100,32,68,0.32,25,25,25,25,9,8,9,6,0.36,0.32,0.36,0.24,0.6,0.84,0.76,0.92,11,3,7,4,8,4,10,3,11,5,7,2,8,4,12,1,15,21,19,23,10,4,6,2,5,0,5,0,0,4,0,0,0,0,3,0,3,0,0,2,0,0,0,0,0.5,0,0.5,0,0,1,0,0,0,0,0.5,0,0.5,0,0,1,0,0,0,0,38,16,36,10,FALSE,0.161290323,4,3,2,1,0.285714286,0.176470588,0.142857143,0.058823529,0.289473684,0.210526316,0.289473684,0.210526316,0.1875,0.25,0.3125,0.25,0.194444444,0.277777778,0.194444444,0.333333333,0.4,0.3,0.2,0.1,0.44,0.12,0.28,0.16,0.32,0.16,0.4,0.12,0.44,0.2,0.28,0.08,0.32,0.16,0.48,0.04
103,Young,88,2,NoInstruction,100,18,82,0.18,25,25,25,25,2,5,8,3,0.08,0.2,0.32,0.12,0.68,0.72,0.68,0.68,4,9,11,1,6,10,8,1,11,7,6,1,6,11,8,0,17,18,17,17,8,7,8,8,2,0,6,0,0,4,0,3,0,0,5,0,3,0,0,2,1,5,0,0,0.25,0,0.75,0,0,0.571428571,0,0.428571429,0,0,0.625,0,0.375,0,0,0.25,0.125,0.625,0,0,27,37,33,3,FALSE,0.04109589,1,1,1,0,0.047619048,0.052631579,0.071428571,0,0.148148148,0.222222222,0.407407407,0.222222222,0.243243243,0.27027027,0.189189189,0.297297297,0.333333333,0.242424242,0.181818182,0.242424242,0.333333333,0.333333333,0.333333333,0,0.16,0.36,0.44,0.04,0.24,0.4,0.32,0.04,0.44,0.28,0.24,0.04,0.24,0.44,0.32,0
75,Young,89,2,NoInstruction,100,28,72,0.28,25,25,25,25,4,13,3,8,0.16,0.52,0.12,0.32,0.6,0.8,0.68,0.64,6,6,4,9,11,7,5,2,8,1,8,8,10,5,7,3,15,20,17,16,10,5,8,9,7,1,1,0,1,0,0,3,0,2,3,0,5,0,0,3,0,4,0,2,0.7,0.1,0.1,0,0.1,0,0,0.6,0,0.4,0.375,0,0.625,0,0,0.333333333,0,0.444444444,0,0.222222222,35,19,24,22,FALSE,0.338461538,9,2,8,3,0.473684211,0.142857143,0.470588235,0.2,0.171428571,0.314285714,0.228571429,0.285714286,0.315789474,0.368421053,0.052631579,0.263157895,0.166666667,0.208333333,0.333333333,0.291666667,0.409090909,0.090909091,0.363636364,0.136363636,0.24,0.24,0.16,0.36,0.44,0.28,0.2,0.08,0.32,0.04,0.32,0.32,0.4,0.2,0.28,0.12
85,Young,90,2,NoInstruction,100,10,90,0.1,25,25,25,25,3,6,1,0,0.12,0.24,0.04,0,0.6,0.52,0.68,0.6,7,11,5,2,13,6,3,3,7,13,5,0,4,13,6,2,15,13,17,15,10,12,8,10,5,0,5,0,0,6,1,5,0,0,5,0,3,0,0,6,0,4,0,0,0.5,0,0.5,0,0,0.5,0.083333333,0.416666667,0,0,0.625,0,0.375,0,0,0.6,0,0.4,0,0,31,43,19,7,FALSE,0.101449275,2,3,0,2,0.111111111,0.25,0,0.095238095,0.225806452,0.419354839,0.225806452,0.129032258,0.255813953,0.139534884,0.302325581,0.302325581,0.263157895,0.157894737,0.263157895,0.315789474,0.285714286,0.428571429,0,0.285714286,0.28,0.44,0.2,0.08,0.52,0.24,0.12,0.12,0.28,0.52,0.2,0,0.16,0.52,0.24,0.08
95,Young,91,2,NoInstruction,100,25,75,0.25,25,25,25,25,7,5,8,5,0.28,0.2,0.32,0.2,0.84,0.8,0.84,0.76,10,2,13,0,7,1,14,3,8,5,8,4,12,3,7,3,21,20,21,19,4,5,4,6,1,0,2,1,0,4,1,0,0,0,2,0,2,0,0,5,0,1,0,0,0.25,0,0.5,0.25,0,0.8,0.2,0,0,0,0.5,0,0.5,0,0,0.833333333,0,0.166666667,0,0,37,11,42,10,FALSE,0.158730159,0,3,4,3,0,0.166666667,0.235294118,0.230769231,0.27027027,0.189189189,0.216216216,0.324324324,0.181818182,0.090909091,0.454545455,0.272727273,0.30952381,0.333333333,0.19047619,0.166666667,0,0.3,0.4,0.3,0.4,0.08,0.52,0,0.28,0.04,0.56,0.12,0.32,0.2,0.32,0.16,0.48,0.12,0.28,0.12
104,Young,92,2,NoInstruction,100,31,69,0.31,25,25,25,25,3,5,12,11,0.12,0.2,0.48,0.44,0.68,0.64,0.68,0.76,9,3,9,4,10,4,10,1,16,3,5,1,11,6,7,1,17,16,17,19,8,9,8,6,7,0,1,0,0,6,0,3,0,0,4,0,4,0,0,2,0,4,0,0,0.875,0,0.125,0,0,0.666666667,0,0.333333333,0,0,0.5,0,0.5,0,0,0.333333333,0,0.666666667,0,0,46,16,31,7,FALSE,0.12962963,4,1,1,1,0.25,0.066666667,0.111111111,0.071428571,0.195652174,0.217391304,0.347826087,0.239130435,0.1875,0.25,0.1875,0.375,0.290322581,0.322580645,0.161290323,0.225806452,0.571428571,0.142857143,0.142857143,0.142857143,0.36,0.12,0.36,0.16,0.4,0.16,0.4,0.04,0.64,0.12,0.2,0.04,0.44,0.24,0.28,0.04
76,Young,93,2,NoInstruction,100,41,59,0.41,25,25,25,25,5,15,6,15,0.2,0.6,0.24,0.6,0.72,0.96,0.8,0.76,6,8,6,5,15,5,1,4,6,9,5,5,15,3,4,3,18,24,20,19,7,1,5,6,5,0,2,0,0,0,0,1,0,0,2,0,3,0,0,1,1,4,0,0,0.714285714,0,0.285714286,0,0,0,0,1,0,0,0.4,0,0.6,0,0,0.166666667,0.166666667,0.666666667,0,0,42,25,16,17,FALSE,0.293103448,5,4,5,3,0.263157895,0.4,0.263157895,0.3,0.142857143,0.357142857,0.142857143,0.357142857,0.32,0.2,0.36,0.12,0.375,0.0625,0.3125,0.25,0.294117647,0.235294118,0.294117647,0.176470588,0.24,0.32,0.24,0.2,0.6,0.2,0.04,0.16,0.24,0.36,0.2,0.2,0.6,0.12,0.16,0.12
86,Young,94,2,NoInstruction,100,7,93,0.07,25,25,25,25,3,2,1,1,0.12,0.08,0.04,0.04,0.36,0.48,0.32,0.48,11,7,3,4,10,6,3,6,10,6,2,7,7,10,1,7,9,12,8,12,16,13,17,13,9,2,4,1,0,6,4,3,0,0,4,1,12,0,0,6,0,2,5,0,0.5625,0.125,0.25,0.0625,0,0.461538462,0.307692308,0.230769231,0,0,0.235294118,0.058823529,0.705882353,0,0,0.461538462,0,0.153846154,0.384615385,0,38,29,9,24,FALSE,0.387096774,4,6,7,7,0.285714286,0.4,0.466666667,0.388888889,0.289473684,0.263157895,0.263157895,0.184210526,0.24137931,0.206896552,0.206896552,0.344827586,0.333333333,0.333333333,0.222222222,0.111111111,0.166666667,0.25,0.291666667,0.291666667,0.44,0.28,0.12,0.16,0.4,0.24,0.12,0.24,0.4,0.24,0.08,0.28,0.28,0.4,0.04,0.28
105,Young,95,2,NoInstruction,100,17,83,0.17,25,25,25,25,6,2,6,3,0.24,0.08,0.24,0.12,0.56,0.6,0.68,0.56,6,7,11,1,4,3,15,3,6,6,11,2,1,7,15,2,14,15,17,14,11,10,8,11,4,0,7,0,0,6,0,4,0,0,6,1,1,0,0,8,0,3,0,0,0.363636364,0,0.636363636,0,0,0.6,0,0.4,0,0,0.75,0.125,0.125,0,0,0.727272727,0,0.272727273,0,0,17,23,52,8,FALSE,0.096385542,1,3,2,2,0.052631579,0.142857143,0.105263158,0.083333333,0.352941176,0.235294118,0.352941176,0.058823529,0.304347826,0.130434783,0.260869565,0.304347826,0.211538462,0.288461538,0.211538462,0.288461538,0.125,0.375,0.25,0.25,0.24,0.28,0.44,0.04,0.16,0.12,0.6,0.12,0.24,0.24,0.44,0.08,0.04,0.28,0.6,0.08
77,Young,97,2,NoInstruction,100,46,54,0.46,25,25,25,25,5,19,10,12,0.2,0.76,0.4,0.48,0.72,1,0.88,0.84,17,1,7,0,24,1,0,0,20,3,0,2,20,1,1,3,18,25,22,21,7,0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,1,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,0,0,0.666666667,0,0.333333333,0.5,0,0.25,0.25,0,81,6,8,5,FALSE,0.263157895,0,0,2,3,0,0,0.4,0.6,0.209876543,0.296296296,0.24691358,0.24691358,0.166666667,0.166666667,0.5,0.166666667,0.875,0,0,0.125,0,0,0.4,0.6,0.68,0.04,0.28,0,0.96,0.04,0,0,0.8,0.12,0,0.08,0.8,0.04,0.04,0.12
